Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/11,Russia,RU,,,,100,0,,,,,,,,,,,,,world-g-sheet,,
2020/04/16,Russia,RU,,,,100,0,,,,,,,,,,,,,world-g-sheet,,
2020/05/06,Russia,RU,Moskva,RUMOW,ru,90,7,3,,,,,,,,,Y,N,Y,limesurvey-540,kxeu1e67huk9vqet38,
2020/06/05,Russia,RU,Moskva,RUMOW,en,50,3,2,,,,,,,,,N,N,N,limesurvey-13722,nfqkx3lc7hkb2p00a0,
2020/06/06,Russia,RU,"Novosibirskaya oblast'",RUNVS,en,240,0,0,,,,,,,,,Y,N,N,limesurvey-13956,qo6fdosi9pkb3gn01l,
2020/06/09,Russia,RU,"Rostovskaya oblast'",RUROS,en,11,3,0,,,,,,,,,Y,N,N,limesurvey-14785,hta4b2450xkb86g17m,
2020/06/09,Russia,RU,"Moskovskaya oblast'",RUMOS,en,1500,5,5,,,,,,,,,Y,N,N,limesurvey-14852,5ei3qvr4rxkb88nje1,
2020/06/09,Russia,RU,"Moskovskaya oblast'",RUMOS,en,20,4,2,,,,,,,,,Y,N,N,limesurvey-14717,ev1ix73h92kb84q7zk,
2020/06/11,Russia,RU,Moskva,RUMOW,en,40,4,4,,,,,,,,,Y,N,N,limesurvey-15320,yk91q3x3efk9wid7eo,
2020/06/15,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-16260,rx04d16y24kbgnq1l5,
2020/06/19,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-17291,rx04d16y24kbgnq1l5,
2020/06/22,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-18399,rx04d16y24kbgnq1l5,
2020/06/23,Russia,RU,"Rostovskaya oblast'",RUROS,en,8,2,2,,,,,,,,,N,N,N,limesurvey-18833,uozirs82ypkb86698d,
2020/06/25,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-19681,rx04d16y24kbgnq1l5,
2020/06/27,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,1,1,,,,,,,,,N,N,N,limesurvey-20688,uozirs82ypkb86698d,
2020/06/29,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-21425,mwy6julbgxkc0iwb5j,
2020/06/30,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,1,1,,,,,,,,,N,N,N,limesurvey-22243,uozirs82ypkb86698d,
2020/07/02,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-22558,mwy6julbgxkc0iwb5j,
2020/07/04,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,2,2,,,,,,,,,N,N,N,limesurvey-22646,uozirs82ypkb86698d,
2020/07/06,Russia,RU,Moskva,RUMOW,en,40,5,5,,,,,,,,,N,N,N,limesurvey-22890,mwy6julbgxkc0iwb5j,
2020/07/08,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,3,2,,,,,,,,,N,N,N,limesurvey-23336,uozirs82ypkb86698d,
2020/07/11,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,3,2,,,,,,,,,N,N,N,limesurvey-23449,uozirs82ypkb86698d,
2020/07/14,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,3,2,,,,,,,,,N,N,N,limesurvey-23818,uozirs82ypkb86698d,
2020/07/17,Russia,RU,"Rostovskaya oblast'",RUROS,en,10,3,2,,,,,,,,,N,N,N,limesurvey-23917,uozirs82ypkb86698d,
2020/07/21,Russia,RU,"Rostovskaya oblast'",RUROS,en,11,4,3,,,,,,,,,N,N,N,limesurvey-24067,uozirs82ypkb86698d,
2020/07/24,Russia,RU,"Rostovskaya oblast'",RUROS,en,12,4,3,,,,,,,,,N,N,N,limesurvey-24398,uozirs82ypkb86698d,
2020/07/28,Russia,RU,"Rostovskaya oblast'",RUROS,en,12,4,,0,0,3,,,,,,,N,,limesurvey-5467,uozirs82ypkb86698d,
