"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"3","BR","BRAM",3938336,0.103448275862069,0.216666666666667,0.015,0.015,203,2,0.103448275862069,0.216666666666667,0.015,0.015,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"4","BR","BRAP",766679,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"5","BR","BRBA",15203934,0.0309892729439809,0.0455325443786982,0.0147783251231527,0.0362354312354312,839,13,0.0309892729439809,0.0455325443786982,0.0147783251231527,0.0362354312354312,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"6","BR","BRCE",8904459,0.105376344086022,0.129333333333333,0.0193548387096774,0.0348333333333333,930,10,0.105376344086022,0.129333333333333,0.0193548387096774,0.0348333333333333,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"7","BR","BRDF",2914830,0.0166666666666667,0.025,0,0,60,2,0.0166666666666667,0.025,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"8","BR","BRES",3929911,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"9","BR","BRFN",3061,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"10","BR","BRGO",6610681,0.166666666666667,0.166666666666667,0,0,6,1,0.166666666666667,0.166666666666667,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"11","BR","BRMA",6904241,0.233333333333333,0.233333333333333,0,0,60,2,0.233333333333333,0.233333333333333,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
