"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"2","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"4","ES","ESAN","ESMA",1661785,0.04,0.04,0,0,50,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"6","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"7","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,8414240,0.04,0.04,0,0,50,0.0187335051975207,0.0187335051975207,0,0,150,130,0.0240501288981405,0.0240501288981405,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.0333333333333333,0.0333333333333333,0,0,60,0.00372037726742685,0.00372037726742685,0,0,52,52,0.0195844608741625,0.0195844608741625,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
"10","ES","ESAR","ESZ",964693,0,0,0,0,2,1319291,0.0333333333333333,0.0333333333333333,0,0,60,0.00372037726742685,0.00372037726742685,0,0,52,52,0.0195844608741625,0.0195844608741625,0,0,47026208,0.166666666666667,0.166666666666667,0,0,60,0.0666295113911272,0.0666295113911272,1070,0.00560842122451332,0.00560842122451332,1010,0.0719412187508904,0.0719412187508904,0.00529393031472753,0.00529393031472753
