"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"2","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"4","ES","ESAN","ESMA",1661785,0.1,0.1,0.02,0.02,50,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"6","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"7","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,8414240,0.1,0.1,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0597703260781722,0.0597703260781722,0.00205396613360208,0.00205396613360208,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.04,0.04,0,0,50,0.21427118575286,0.113025230976335,0,0,102,0.156945137807841,0.0890037734183301,0,0,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
"10","ES","ESAR","ESZ",964693,0.288461538461538,0.15,0,0,52,1319291,0.04,0.04,0,0,50,0.21427118575286,0.113025230976335,0,0,102,0.156945137807841,0.0890037734183301,0,0,47026208,0.062328563402624,0.0526345984453607,0.0150375939849624,0.00588235294117647,30259,0.0603094043449561,0.047714590228096,0.000395936011806473,0.000395936011806473,1296,0.0622456342269391,0.0524325280714239,0.0144362443182468,0.00565701951254508
