"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2019/12/31",0,0,0,0,0,0,0,0,2077132
"2","2020/01/01",0,0,0,0,0,0,0,0,2077132
"3","2020/01/02",0,0,0,0,0,0,0,0,2077132
"4","2020/01/03",0,0,0,0,0,0,0,0,2077132
"5","2020/01/04",0,0,0,0,0,0,0,0,2077132
"6","2020/01/05",0,0,0,0,0,0,0,0,2077132
"7","2020/01/06",0,0,0,0,0,0,0,0,2077132
"8","2020/01/07",0,0,0,0,0,0,0,0,2077132
"9","2020/01/08",0,0,0,0,0,0,0,0,2077132
"10","2020/01/09",0,0,0,0,0,0,0,0,2077132
"11","2020/01/10",0,0,0,0,0,0,0,0,2077132
"12","2020/01/11",0,0,0,0,0,0,0,0,2077132
"13","2020/01/12",0,0,0,0,0,0,0,0,2077132
"14","2020/01/13",0,0,0,0,0,0,0,0,2077132
"15","2020/01/14",0,0,0,0,0,0,0,0,2077132
"16","2020/01/15",0,0,0,0,0,0,0,0,2077132
"17","2020/01/16",0,0,0,0,0,0,0,0,2077132
"18","2020/01/17",0,0,0,0,0,0,0,0,2077132
"19","2020/01/18",0,0,0,0,0,0,0,0,2077132
"20","2020/01/19",0,0,0,0,0,0,0,0,2077132
"21","2020/01/20",0,0,0,0,0,0,0,0,2077132
"22","2020/01/21",0,0,0,0,0,0,0,0,2077132
"23","2020/01/22",0,0,0,0,0,0,0,0,2077132
"24","2020/01/23",0,0,0,0,0,0,0,0,2077132
"25","2020/01/24",0,0,0,0,0,0,0,0,2077132
"26","2020/01/25",0,0,0,0,0,0,0,0,2077132
"27","2020/01/26",0,0,0,0,0,0,0,0,2077132
"28","2020/01/27",0,0,0,0,0,0,0,0,2077132
"29","2020/01/28",0,0,0,0,0,0,0,0,2077132
"30","2020/01/29",0,0,0,0,0,0,0,0,2077132
"31","2020/01/30",0,0,0,0,0,0,0,0,2077132
"32","2020/01/31",0,0,0,0,0,0,0,0,2077132
"33","2020/02/01",0,0,0,0,0,0,0,0,2077132
"34","2020/02/02",0,0,0,0,0,0,0,0,2077132
"35","2020/02/03",0,0,0,0,0,0,0,0,2077132
"36","2020/02/04",0,0,0,0,0,0,0,0,2077132
"37","2020/02/05",0,0,0,0,0,0,0,0,2077132
"38","2020/02/06",0,0,0,0,0,0,0,0,2077132
"39","2020/02/07",0,0,0,0,0,0,0,0,2077132
"40","2020/02/08",0,0,0,0,0,0,0,0,2077132
"41","2020/02/09",0,0,0,0,0,0,0,0,2077132
"42","2020/02/10",0,0,0,0,0,0,0,0,2077132
"43","2020/02/11",0,0,0,0,0,0,0,0,2077132
"44","2020/02/12",0,0,0,0,0,0,0,0,2077132
"45","2020/02/13",0,0,0,0,0,0,0,0,2077132
"46","2020/02/14",0,0,0,0,0,0,0,0,2077132
"47","2020/02/15",0,0,0,0,0,0,0,0,2077132
"48","2020/02/16",0,0,0,0,0,0,0,0,2077132
"49","2020/02/17",0,0,0,0,0,0,0,0,2077132
"50","2020/02/18",0,0,0,0,0,0,0,0,2077132
"51","2020/02/19",0,0,0,0,0,0,0,0,2077132
"52","2020/02/20",0,0,0,0,0,0,0,0,2077132
"53","2020/02/21",0,0,0,0,0,0,0,0,2077132
"54","2020/02/22",0,0,0,0,0,0,0,0,2077132
"55","2020/02/23",0,0,0,0,0,0,0,0,2077132
"56","2020/02/24",0,0,0,0,0,0,0,0,2077132
"57","2020/02/25",0,0,0,0,0,0,0,0,2077132
"58","2020/02/26",0,0,0,0,0,0,0,0,2077132
"59","2020/02/27",1,0,1,0,1,4.81433052882532e-07,4.81433052882532e-07,4.81433052882532e-07,2077132
"60","2020/02/28",0,0,1,0,1,4.81433052882532e-07,0,4.81433052882532e-07,2077132
"61","2020/02/29",0,0,1,0,1,4.81433052882532e-07,0,4.81433052882532e-07,2077132
"62","2020/03/01",0,0,1,0,1,4.81433052882532e-07,0,4.81433052882532e-07,2077132
"63","2020/03/02",0,0,1,0,1,4.81433052882532e-07,0,4.81433052882532e-07,2077132
