"","date","p_w_country","p_m_country"
"1","2020/03/22",NA,NA
"2","2020/03/23",NA,NA
"3","2020/03/24",NA,NA
"4","2020/03/25",NA,NA
"5","2020/03/26",NA,NA
"6","2020/03/27",NA,NA
"7","2020/03/29",NA,NA
"8","2020/03/30",NA,NA
"9","2020/03/31",NA,NA
"10","2020/04/01",NA,NA
"11","2020/04/02",NA,NA
"12","2020/04/03",NA,NA
"13","2020/04/04",NA,NA
"14","2020/04/05",NA,NA
"15","2020/04/06",NA,NA
"16","2020/04/07",NA,NA
"17","2020/04/08",NA,NA
"18","2020/04/09",NA,NA
"19","2020/04/10",NA,NA
"20","2020/04/11",NA,NA
"21","2020/04/12",NA,NA
"22","2020/04/13",NA,NA
"23","2020/04/14",NA,NA
"24","2020/04/15",NA,NA
"25","2020/04/16",NA,NA
"26","2020/04/17",NA,NA
"27","2020/04/18",NA,NA
"28","2020/04/19",NA,NA
"29","2020/04/20",NA,NA
"30","2020/04/21",NA,NA
"31","2020/04/22",NA,NA
"32","2020/04/23",NA,NA
"33","2020/04/24",NA,NA
"34","2020/04/25",NA,NA
"35","2020/04/26",NA,NA
"36","2020/04/27",NA,NA
"37","2020/04/28",NA,NA
"38","2020/04/29",NA,NA
"39","2020/05/01",NA,NA
"40","2020/05/03",NA,NA
"41","2020/05/05",NA,NA
"42","2020/05/06",NA,NA
"43","2020/05/07",NA,NA
"44","2020/05/08",NA,NA
"45","2020/05/09",NA,NA
"46","2020/05/10",NA,NA
"47","2020/05/12",NA,NA
"48","2020/05/13",NA,NA
"49","2020/05/14",NA,NA
"50","2020/05/15",NA,NA
"51","2020/05/16",NA,NA
"52","2020/05/18",NA,NA
"53","2020/05/20",NA,NA
"54","2020/05/21",NA,NA
"55","2020/05/23",NA,NA
"56","2020/05/25",NA,NA
"57","2020/05/26",NA,NA
"58","2020/05/29",NA,NA
"59","2020/06/02",NA,NA
"60","2020/06/03",NA,NA
"61","2020/06/05",NA,NA
"62","2020/06/06",NA,NA
"63","2020/06/07",NA,NA
"64","2020/06/08",NA,NA
"65","2020/06/09",NA,NA
"66","2020/06/10",NA,NA
"67","2020/06/11",NA,NA
"68","2020/06/12",NA,NA
"69","2020/06/13",NA,NA
"70","2020/06/14",NA,NA
"71","2020/06/15",NA,NA
"72","2020/06/16",NA,NA
"73","2020/06/17",NA,NA
"74","2020/06/18",NA,NA
"75","2020/06/20",NA,NA
"76","2020/06/21",NA,NA
"77","2020/06/22",NA,NA
"78","2020/06/23",NA,NA
"79","2020/06/24",NA,NA
"80","2020/06/25",NA,NA
"81","2020/06/26",NA,NA
"82","2020/06/27",NA,NA
"83","2020/06/28",NA,NA
"84","2020/06/29",NA,NA
"85","2020/06/30",NA,NA
"86","2020/07/01",NA,NA
"87","2020/07/02",NA,NA
"88","2020/07/03",NA,NA
"89","2020/07/04",NA,NA
"90","2020/07/05",NA,NA
"91","2020/07/06",NA,NA
"92","2020/07/07",NA,NA
"93","2020/07/08",NA,NA
"94","2020/07/09",NA,NA
"95","2020/07/10",NA,NA
"96","2020/07/11",NA,NA
"97","2020/07/12",NA,NA
"98","2020/07/13",NA,NA
"99","2020/07/14",NA,NA
"100","2020/07/15",NA,NA
"101","2020/07/16",NA,NA
"102","2020/07/17",NA,NA
"103","2020/07/18",NA,NA
"104","2020/07/19",NA,NA
"105","2020/07/20",NA,NA
"106","2020/07/21",NA,NA
"107","2020/07/24",NA,NA
"108","2020/07/27",NA,NA
"109","2020/07/28",NA,NA
"110","2020/07/29",NA,NA
"111","2020/07/30",NA,NA
"112","2020/07/31",NA,NA
"113","2020/08/01",NA,NA
