"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","CL","CLAI",103158,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"2","CL","CLAN",607534,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"3","CL","CLAP",226068,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"4","CL","CLAR",957224,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"5","CL","CLAT",286168,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"6","CL","CLBI",1556805,0.00454545454545455,0.00166666666666667,NA,NA,220,3,0.00454545454545455,0.00166666666666667,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"7","CL","CLCO",757586,0,0,NA,NA,10,1,0,0,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"8","CL","CLLI",914555,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"9","CL","CLLL",828708,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"10","CL","CLLR",384837,0,0,NA,NA,5,1,0,0,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"11","CL","CLMA",166533,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"12","CL","CLML",1044950,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"13","CL","CLNB",480609,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"14","CL","CLRM",7112808,0.016914749661705,0.0112962962962963,NA,NA,1478,18,0.016914749661705,0.0112962962962963,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"15","CL","CLTA",330558,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
"16","CL","CLVS",1815902,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17574003,0,NA,60,2,0.0129828053092558,1713,0,0,0.0125434548757784,0
